name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,property_type,room_type,accommodates,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
Charming room in pet friendly apt,36,9,2,2572247,Andrea,3389,within an hour,100,Apartment,Private room,2,65,95,10,2,15
Spacious Sunny Bedroom Suite in Historic Home,1,10,2,6031442,Meghna,3071,within a few hours,100,House,Private room,4,75,100,50,1,1125
Perfect & Practical Boston Rental,33,9,3,4434391,Damon,3195,within an hour,100,Apartment,Entire home/apt,5,229,200,50,4,10
Quiet  Beauty in Boston,7,9,2,9658771,Anthony,2882,within a day,75,House,Entire home/apt,2,145,500,150,3,1125
Arborside Guest Cottage,16,10,2,74531248,Carl & Judy,1938,within an hour,100,House,Entire home/apt,3,120,150,50,2,6
Spacious 3 bedroom cape cod style,21,10,1,23127285,Jesús,2515,within a day,100,House,Entire home/apt,8,150,150,100,3,1125
Adorable  Apt. 20 min from Downtown,2,10,3,37177446,Nelson And Marlene,2271,within an hour,100,Apartment,Entire home/apt,6,200,200,85,2,1125
Charming 3 bedroom-15 min to Boston,24,9,3,6570877,Juliet,3037,within an hour,98,House,Entire home/apt,16,125,250,50,1,1125
Charming new house-15 min to Boston,82,9,3,6570877,Juliet,3037,within an hour,98,House,Entire home/apt,16,200,250,50,1,1125
Lovely & Gracious Victorian room,21,9,1,19223882,Rosa,2605,within a few hours,100,House,Private room,1,78,500,25,3,1125
Charming sunlit house in Boston,26,9,3,7723912,Fj,2976,within a few hours,77,House,Entire home/apt,4,145,446,56,5,1125
Cozy in Rozzie!,9,10,3,7506913,Maria Cecilia,2986,within a few hours,100,House,Private room,1,75,200,50,3,1125
1bd Boston apt - Convenient & quiet,53,10,3,16343599,Ella & Will,2663,within a few hours,90,Apartment,Entire home/apt,3,95,250,35,1,180
Quiet Sunlit Attic Studio,3,10,3,7723912,Fj,2976,within a few hours,77,Apartment,Entire home/apt,2,89,223,45,3,1125
Private House in Roslindale/Boston/Arboretum,2,6,3,68001856,Laura,1977,within an hour,100,House,Entire home/apt,7,285,500,125,3,1125
"Beautiful, Expansive Space in JP",18,8,3,19280995,Kaitlin,2604,within a few hours,73,House,Private room,2,46,200,50,2,40
Qn BR/Private Bath/Superhost/JP Ctr,17,9,3,5028116,Jason,3142,within a few hours,100,Apartment,Private room,2,120,500,80,1,1125
Lg sunny room w/private entrance,9,10,1,987917,Helder,3683,within a day,100,House,Private room,2,70,100,20,1,1125
Clean Apartment in Boston,47,9,2,12937716,Jean-Ellen,2750,within an hour,90,Apartment,Entire home/apt,6,168,200,120,3,1125
Bright room with queen sized bed,17,9,1,987917,Helder,3683,within a day,100,House,Private room,2,65,100,15,1,1125
Priv apt w/2 Beds 1 bath close to Medical/Downtown,2,9,1,30314324,Eileen,2363,within a few hours,100,Apartment,Entire home/apt,4,150,200,50,5,120
"Cozy bedroom near train, bus, parks",6,10,2,25636575,Karin,2447,within a few hours,100,Apartment,Private room,2,87,95,25,2,10
